rrl	1137434.71494999	5.79047978708975	0.361942766124277	15.9983299268413	1.31248825692876e-57	9.1874177985013e-56
MTS2823	395900.874942346	3.08340807727838	0.210387159148633	14.6558758136947	1.23553146910081e-48	4.32436014185284e-47
rrf	183.927957121876	3.75180426192858	0.374169877524181	10.0270077504732	1.15978090961955e-23	2.70615545577895e-22
rrs	311680.67898845	6.13693297769864	0.650759859791603	9.43041105771936	4.08484969010044e-21	7.14848695767578e-20
mcr3	933.885617926167	1.2737451319056	0.309963283191881	4.10934198008574	3.96788116364577e-05	0.000462919469092006
leuW	20.9360930696026	1.839775291691	0.44582168047399	4.12670664588358	3.67995331729584e-05	0.000462919469092006
MTS0858	44.1995859685253	1.27367357002618	0.345389725364246	3.68764174638655	0.000226342013986829	0.00215590614527673
G2	228.212336458328	0.899062822871832	0.245244607818074	3.66598405922453	0.000246389273745912	0.00215590614527673
thrU	40.457236234779	1.22485187402866	0.338727504959275	3.61603901689626	0.000299145306773098	0.00232668571934632
mcr16	949.708516873497	-0.839898538906007	0.247263653751548	-3.39677314543747	0.000681854685524285	0.00477298279866999
mcr15	409.410125738508	0.754116688237794	0.226663866763371	3.32702648642743	0.000877780298203436	0.00558587462493096
valU	20.4569673123878	-1.42822535810204	0.443619743369666	-3.2194810520683	0.00128422847565122	0.00749133277463211
leuT	73.3698465875591	-0.958817050738405	0.306252747635057	-3.13080309692754	0.00174329002013284	0.00938694626225376
ASpks	14.1662699056161	1.59684517678491	0.538836027811025	2.96350855244768	0.00304153609750473	0.0152076804875236
lysU	67.9582864644256	-0.865837743590641	0.296230809383284	-2.92284838769204	0.00346845358268868	0.0161861167192138
F6	844.223075907193	0.67532625523636	0.24163621962468	2.79480558123822	0.00519309354611319	0.0213833263663484
B55	29.2321698274665	-1.1741435067125	0.417651794320224	-2.81129764717892	0.00493421167239264	0.0213833263663484
alaV	101.364287813491	-0.827340257510755	0.305073846790219	-2.71193439298541	0.00668918308500856	0.0260134897750333
glyT	57.8974727342735	0.886799914493879	0.35187501808037	2.52021277137477	0.0117283914916346	0.0432098633902329
proT	31.5035839791784	-0.925528966578869	0.403447279000109	-2.29405182474565	0.0217875220894086	0.0762563273129301
pheU	47.5914311871134	-0.732756438282803	0.332487262439251	-2.203863188343	0.027533967092287	0.0848871083311353
metV	130.976094342111	-0.641895067381269	0.290934424693162	-2.20632215681679	0.0273614510907833	0.0848871083311353
C8	249.036200188872	-0.555811939371311	0.252778590798553	-2.19880939131532	0.0278914784516587	0.0848871083311353
serT	89.6111864203599	-0.680493468856357	0.319755202994522	-2.12817012040306	0.0333229812211568	0.0971920285617072
glyV	81.5449062386936	-0.611015966049715	0.302959667032358	-2.01682280692649	0.0437140079877631	0.122399222365737
valV	95.4220571058563	-0.593943818049477	0.297923000412693	-1.99361518656406	0.0461941244354696	0.124368796557034
gluT	277.572644662244	0.524873896129185	0.286746451290874	1.83044600470663	0.0671832738409203	0.17417885810609
hisT	41.5633448905704	0.58225344379783	0.326939283550027	1.78092224793395	0.0749251535402041	0.18442675134045
serV	141.338684020901	0.480250104548119	0.271031464701121	1.7719348750807	0.0764053684124722	0.18442675134045
ileT	74.5864960574836	-0.49278677371722	0.294178486726966	-1.67512852214305	0.0939090179055029	0.219121041779507
valT	34.103746899932	-0.576200750480215	0.361333200683532	-1.59465210888515	0.110790053034791	0.250171087497916
argU	46.1221245744499	-0.506548560772114	0.339958129441853	-1.49003220368276	0.136215768601382	0.297971993815523
MTS1338	321.680640940164	-0.354386674214931	0.24596179621698	-1.44081999589197	0.149635542828098	0.317408727211117
thrT	384.078945294844	-0.292431427214812	0.229211843672823	-1.27581290097831	0.202021665994409	0.395743785957038
rnpB	321829.218807643	-0.308275169393283	0.239809944032422	-1.28549785805214	0.198618364756069	0.395743785957038
proY	71.0391511453382	-0.392647321726358	0.308789001167537	-1.27157159173983	0.203525375635048	0.395743785957038
AS1726	20.9769048990441	0.484504608668177	0.411007368997465	1.17882219447789	0.238468984637466	0.428021254477503
AS1890	34.5047320637739	0.411669957352591	0.348696894461058	1.18059542224735	0.237763483046907	0.428021254477503
B11	312.866228815591	0.321806055575832	0.268480277454022	1.198620839592	0.230675411185351	0.428021254477503
mcr7	16091.7472049768	0.252797560523525	0.225754914870573	1.11978762751835	0.262804272895606	0.45990747756731
metT	305.912454880501	-0.253643162611422	0.239025622736184	-1.06115469842901	0.288619603148072	0.47896854098326
lysT	8.85065687070592	-0.60718224350515	0.578874508829599	-1.04890133222965	0.294223532318288	0.47896854098326
glnT	34.0862767151192	-0.401401244410639	0.375850047305645	-1.06798242354408	0.285528440315297	0.47896854098326
alaU	44.8795121128608	0.325567038567321	0.320544889487297	1.01566753751107	0.309787731607331	0.481892026944737
MTS2975	106.841261492206	0.27424259294789	0.268562835889491	1.0211487082328	0.307183989050398	0.481892026944737
mcr11	353.264131162652	0.228002068603333	0.22946810518971	0.993611153126641	0.320412212216446	0.48758380119894
serX	39.0045731107153	0.300139023964453	0.342591755342019	0.876083616387138	0.380984578745045	0.56742384068411
tyrT	13.1418170737801	-0.424671110122707	0.517526526588274	-0.820578440533853	0.411886432215367	0.581699803247048
leuV	10.3171461345886	0.459992687835073	0.555871084727163	0.827516847833254	0.407944176815496	0.581699803247048
argW	14.1084014857838	-0.382890358212761	0.470234950596015	-0.814253295565235	0.415499859462177	0.581699803247048
cysU	23.1904395538073	-0.326657938601171	0.462370912291007	-0.706484620718483	0.479886813449928	0.65866817532343
thrV	109.79799271517	-0.190126535552132	0.315478026989508	-0.602661736433564	0.546733741212325	0.735987728555053
ssr	615579.090620495	0.140744159280321	0.239893368864378	0.586694663327229	0.557408792584229	0.736200292092378
mcr10	567.211981279741	-0.127827591913379	0.233365512186304	-0.547756995949467	0.583858770543132	0.752614321493086
glnU	83.7088739234838	0.161515778924461	0.300832824229787	0.536895464575666	0.591339824030282	0.752614321493086
argT	56.6585442202183	-0.171943643721981	0.342859373886871	-0.501499030849642	0.616019959738283	0.770024949672854
ASdes	2646.41577626817	0.114519667471487	0.246308148246289	0.464944697472926	0.641971060494699	0.788385512888226
aspT	79.3342829753806	0.157548035808917	0.367495628158576	0.428707238228517	0.668136292429546	0.806371387414969
alaT	137.292778001638	-0.12626327761526	0.306103445369561	-0.412485646683334	0.679983498976477	0.806760083531414
asnT	21.3177372626404	-0.142368208342982	0.407483409086796	-0.349384061211329	0.726800997618207	0.847934497221242
MTS1082	949.380520679823	-0.0880479755610024	0.278853239244932	-0.315750234063679	0.752192094432465	0.863171255906107
metU	32.8086879926824	-0.0961327809809345	0.358177618565263	-0.268394159763554	0.788395934492807	0.890124442169298
glyU	33.755970912903	0.0859087556857868	0.377646870533098	0.227484357448839	0.820047131366419	0.901057783889307
gluU	48.66645426576	0.0709937955686135	0.318888346571613	0.22262900583189	0.823824259555938	0.901057783889307
leuX	60.1011013869997	-0.0447081824140185	0.316453394227039	-0.14127888412517	0.887649630315707	0.941446577607568
leuU	15.7696653629809	0.0665188741752587	0.451226518746183	0.147417918521486	0.882802163101737	0.941446577607568
argV	21.9703509933896	-0.0489577650630756	0.413312041577903	-0.118452307549931	0.905709282033363	0.94249516602566
proU	99.5070177806475	0.0291001387203656	0.274478634140099	0.106019686419426	0.915566732710641	0.94249516602566
serU	56.4839747983062	0.0288801721050746	0.335526178584604	0.0860742736286741	0.931407374379658	0.944906031979363
trpT	981.988614140063	0.0150643350420804	0.267664658610524	0.0562806278583096	0.955118251100504	0.955118251100504
